基站编码,LAC,CI
"HUBSC96HWE_HUB1108南浔绢麻纺织",16978.000000,35051.000000
"HUBSC94HWE_HUB2053长兴洪桥横山",16981.000000,10579.000000
"HUBSC94HWE_HUB2023长兴雉城明门",16981.000000,33165.000000
"HUBSC94HWE_HUB2026长兴和平城山",16981.000000,35527.000000
"HUBSC98HWE_HUD0310市区红丰家园小高层1800",16977.000000,31835.000000
"HUBSC94HWE_HUD2160长兴雉城三星斗1800",16981.000000,33524.000000
"HUBSC96HWE_HUB1158南浔开发区双塘村",16978.000000,35185.000000
"HUBSC96HWE_HUB1160南浔开发区沈庄漾",16978.000000,35329.000000
"HUBSC96HWE_HUB1172南浔练市莲墩",16978.000000,35491.000000
"HUBSC96HWE_HUB1198南浔练市练溪大桥",16978.000000,43955.000000
"HUBSC96HWE_HUB1114南浔开发区三江家私",16978.000000,35068.000000
"HUBSC102HWE_HUB1122南浔菱湖下昂施家墩",16991.000000,35105.000000
"HUBSC96HWE_HUB1167南浔开发区丁家桥",16978.000000,35417.000000
"HUBSC94HWE_HUB2007长兴航政大楼",16981.000000,33102.000000
"HUBSC99HWE_HUB1166南浔旧馆圣拉格地板",16976.000000,31479.000000
"HUBSC96HWE_HUB1167南浔开发区丁家桥",16978.000000,35418.000000
"HUBSC96HWE_HUB1165南浔马腰泗州",16978.000000,35159.000000
"HUBSC99HWE_HUB1166南浔旧馆圣拉格地板",16976.000000,31480.000000
"HUBSC94HWE_HUB2009长兴花菇山公园",16981.000000,33107.000000
"HUBSC96HWE_HUB1170南浔双林凌家堰",16978.000000,35480.000000
"HUBSC96HWE_HUB1176南浔和孚汤家港",16978.000000,35605.000000
"HUBSC96HWE_HUB1119南浔开发区主题公园",16978.000000,35088.000000
"HUBSC96HWE_HUB1120南浔洪福杨堡里",16978.000000,35091.000000
"HUBSC96HWE_HUB1120南浔洪福杨堡里",16978.000000,35093.000000
"HUBSC96HWE_HUB1162南浔菱湖陈邑",16978.000000,35334.000000
"HUBSC99HWE_HUB1168南浔旧馆寺桥村",16976.000000,35433.000000
"HUBSC96HWE_HUB1110南浔开发区宏力门业",16978.000000,35054.000000
"HUBSC96HWE_HUB1111南浔开发区江蒋漾",16978.000000,35059.000000
"HUBSC98HWE_HUD0211市区房总锦绣苑1800",16977.000000,31161.000000
"HUBSC100HWE_HUD4049安吉污水处理厂1800",16990.000000,32768.000000
"HUBSC96HWE_HUB1151南浔城西派出所",16978.000000,43435.000000
"HUBSC96HWE_HUB1152南浔开发区李家河",16978.000000,35312.000000
"HUBSC96HWE_HUB1173南浔重兆桑树港",16978.000000,35515.000000
"HUBSC96HWE_HUB1159南浔含山工业园",16978.000000,35325.000000
"HUBSC96HWE_HUB1173南浔重兆桑树港",16978.000000,35514.000000
"HUBSC94HWE_HUB2005长兴雉城高山岭",16981.000000,33097.000000
"HUBSC96HWE_HUB1113南浔开发区辽里村委",16978.000000,35064.000000
"HUBSC96HWE_HUB1115南浔练市湖滨花园",16978.000000,35035.000000
"HUBSC94HWE_HUB2016长兴商业局",16981.000000,33125.000000
"HUBSC96HWE_HUB1175南浔申嘉湖练市收费站",16978.000000,35581.000000
"HUBSC100HWE_HUB4230安吉梅溪晓墅移动",16990.000000,35410.000000
"HUBSC100HWE_HUB4231安吉塘浦工业园净土",16990.000000,35401.000000
"HUBSC96HWE_HUB1141南浔练市荃步",16978.000000,35200.000000
"HUBSC102HWE_HUD0324吴兴杨家埠污水泵站1800",16991.000000,43850.000000
"HUBSC96HWE_HUB1162南浔菱湖陈邑",16978.000000,35335.000000
"HUBSC99HWE_HUB1168南浔旧馆寺桥村",16976.000000,35432.000000
"HUBSC94HWE_HUB2008长兴红玫瑰大酒店",16981.000000,33004.000000
"HUBSC94HWE_HUB2010长兴检察大楼",16981.000000,33109.000000
"HUBSC96HWE_HUB1182南浔练市长城家园",16978.000000,43731.000000
"HUBSC96HWE_HUB1117南浔开发区直港巷草船兜",16978.000000,35084.000000
"HUBSC99HWE_HUB1107南浔旧馆葫芦兜",16976.000000,35098.000000
"HUBSC96HWE_HUB1163南浔练市定泉花园",16978.000000,35368.000000
"HUBSC96HWE_HUB1123南浔菱湖新公园",16978.000000,35108.000000
"HUBSC100HWE_HUSFB4185A",16990.000000,44126.000000
"HUBSC94HWE_HUB2005长兴雉城高山岭",16981.000000,33096.000000
"HUBSC98HWE_HUD0212市区枫丹白露1800",16977.000000,31168.000000
"HUBSC96HWE_HUD1019南浔建行1800",16978.000000,35004.000000
"HUBSC98HWE_HUSFB0048A",16977.000000,31491.000000
"HUBSC98HWE_HUSFB0052A",16977.000000,31768.000000
"HUBSC99HWE_HUD1025南浔旧馆1800",16976.000000,8460.000000
"HUBSC96HWE_HUD1026南浔巨人集团1800",16978.000000,35009.000000
"HUBSC100HWE_HUD4015安吉汽车站1800",16990.000000,32581.000000
"HUBSC98HWE_HUD0033市区江南粮贸1800",16977.000000,31139.000000
"HUBSC98HWE_HUD0034市区精亮模具厂1800",16977.000000,31085.000000
"HUBSC98HWE_HUD0035市区科兴大厦1800",16977.000000,31091.000000
"HUBSC94HWE_HUD2181长兴国际商贸楼1800",16981.000000,33557.000000
"HUBSC102HWE_HUD0005市区西南工业园区1800",16991.000000,31123.000000
"HUBSC100HWE_HUB4248安吉递铺郎家坞",16990.000000,43917.000000
"HUBSC94HWE_HUB2008长兴红玫瑰大酒店",16981.000000,33005.000000
"HUBSC94HWE_HUB2009长兴花菇山公园",16981.000000,33105.000000
"HUBSC94HWE_HUB2010长兴检察大楼",16981.000000,33108.000000
"HUBSC96HWE_HUB1118南浔开发区罗家兜",16978.000000,35085.000000
"HUBSC96HWE_HUB1110南浔开发区宏力门业",16978.000000,35053.000000
"HUBSC100HWE_HUB4235安吉高二",16990.000000,32594.000000
